INTERSECTION_NAME,INTERSECTION_X,INTERSECTION_Y,GRAPH_NODE_COUNT,MAX_GRAPH_DEGREE,BRANCH_COUNT,DIRECTION_GROUP_COUNT,DETECTION_METHOD,MANUAL_EDIT,geometry_wkt
Centerline Intersection 96,711570.0806245559,7647517.87074118,1,3,28,4,CENTERLINE_GRAPH,,"POLYGON ((119.038868 -21.262172, 119.038818 -21.262048, 119.038668 -21.261643, 119.038617 -21.261463, 119.038616 -21.261397, 119.038813 -21.261384, 119.038847 -21.261394, 119.039263 -21.261528, 119.039332 -21.261635, 119.039364 -21.261696, 119.039099 -21.26217, 119.038868 -21.262172))"
Centerline Intersection 97,711680.8227026438,7648323.05420112,4,3,28,4,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((119.039834 -21.254794, 119.039797 -21.254784, 119.039669 -21.254642, 119.039577 -21.254516, 119.039516 -21.254332, 119.039589 -21.25423, 119.039659 -21.254194, 119.039795 -21.254131, 119.040403 -21.254411, 119.040482 -21.254483, 119.040321 -21.254638, 119.039834 -21.254794))"
Centerline Intersection 99,713135.7654542313,7647054.200943936,2,3,28,4,CENTERLINE_GRAPH,,"POLYGON ((119.053876 -21.266173, 119.053759 -21.266124, 119.053759 -21.266066, 119.053989 -21.265347, 119.054221 -21.265344, 119.05447 -21.265633, 119.054515 -21.265696, 119.054515 -21.265741, 119.054473 -21.26585, 119.053924 -21.266172, 119.053876 -21.266173))"
Centerline Intersection 100,713106.798758233,7649732.876353831,8,3,28,4,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((119.053686 -21.242062, 119.05354 -21.241974, 119.053277 -21.241733, 119.053114 -21.241451, 119.053182 -21.241265, 119.053495 -21.241157, 119.053693 -21.241188, 119.053819 -21.241881, 119.0538 -21.241953, 119.053734 -21.242062, 119.053686 -21.242062))"
Centerline Intersection 101,713391.9610744701,7650666.294739,4,3,28,4,CENTERLINE_GRAPH,,"POLYGON ((119.056024 -21.233545, 119.055956 -21.2335, 119.055907 -21.233438, 119.055705 -21.23303, 119.055708 -21.232989, 119.055867 -21.232875, 119.056413 -21.232768, 119.056611 -21.232821, 119.056612 -21.232842, 119.056579 -21.232919, 119.056187 -21.233497, 119.056072 -21.233544, 119.056024 -21.233545))"
Centerline Intersection 102,713935.7053172321,7648302.446135432,8,3,27,4,CENTERLINE_GRAPH,,"POLYGON ((119.061647 -21.254803, 119.061304 -21.254414, 119.061303 -21.254369, 119.061365 -21.25426, 119.061683 -21.253992, 119.061717 -21.253971, 119.061915 -21.253989, 119.061915 -21.254045, 119.061878 -21.2548, 119.061647 -21.254803))"
Centerline Intersection 107,713514.3766725545,7650421.163810408,2,3,26,4,CENTERLINE_GRAPH,,"POLYGON ((119.057243 -21.235665, 119.057209 -21.235652, 119.057078 -21.235514, 119.057083 -21.234913, 119.057198 -21.234849, 119.057262 -21.234818, 119.05728 -21.234834, 119.057476 -21.235103, 119.057722 -21.235461, 119.057757 -21.235537, 119.057757 -21.235582, 119.05756 -21.235616, 119.057243 -21.235665))"
Centerline Intersection 109,713909.4666188151,7649503.173235379,1,3,26,4,CENTERLINE_GRAPH,,"POLYGON ((119.061233 -21.244052, 119.061193 -21.244016, 119.061158 -21.24394, 119.06086 -21.243266, 119.06086 -21.243244, 119.060974 -21.243156, 119.061022 -21.243156, 119.06164 -21.243374, 119.061643 -21.243591, 119.061389 -21.243937, 119.061233 -21.244052))"
Centerline Intersection 110,714011.4944894876,7649206.557214739,1,3,26,4,CENTERLINE_GRAPH,,"POLYGON ((119.062193 -21.246668, 119.062145 -21.246623, 119.06211 -21.246547, 119.061908 -21.245918, 119.061908 -21.24587, 119.062022 -21.245808, 119.06207 -21.245807, 119.062603 -21.246026, 119.062717 -21.246182, 119.06239 -21.246631, 119.062193 -21.246668))"
Centerline Intersection 111,713613.7265361323,7648233.086847658,2,4,25,4,CENTERLINE_GRAPH,,"POLYGON ((119.058284 -21.255435, 119.058273 -21.254687, 119.058504 -21.254684, 119.058993 -21.254921, 119.058996 -21.255138, 119.058515 -21.255432, 119.058284 -21.255435))"
Centerline Intersection 113,712593.0075926887,7648709.6786810905,4,3,25,4,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((119.048641 -21.25135, 119.048346 -21.250842, 119.048343 -21.250626, 119.048711 -21.250472, 119.048792 -21.250439, 119.048808 -21.250439, 119.048937 -21.250483, 119.048972 -21.250514, 119.048872 -21.251347, 119.048641 -21.25135))"
Centerline Intersection 117,713169.0302959079,7649487.684422705,5,3,24,4,CENTERLINE_GRAPH,,"POLYGON ((119.054246 -21.244223, 119.05413 -21.244213, 119.053777 -21.243572, 119.053897 -21.243423, 119.054185 -21.24333, 119.054226 -21.243329, 119.054412 -21.244004, 119.054415 -21.244221, 119.054246 -21.244223))"
Centerline Intersection 137,713079.3085509883,7648562.148193083,18,3,13,4,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((119.053393 -21.252407, 119.053165 -21.252061, 119.053229 -21.251876, 119.053244 -21.251875, 119.053355 -21.251906, 119.053434 -21.251975, 119.053521 -21.252057, 119.053606 -21.252296, 119.053611 -21.252335, 119.053607 -21.252341, 119.053393 -21.252407))"
Centerline Intersection 138,714076.7137747979,7649546.197600956,4,3,30,3,CENTERLINE_GRAPH,,"POLYGON ((119.062469 -21.243445, 119.062466 -21.243229, 119.062731 -21.24277, 119.062963 -21.242767, 119.063291 -21.243128, 119.063294 -21.243345, 119.062616 -21.243443, 119.062469 -21.243445))"
Centerline Intersection 139,713274.4131749083,7649554.919003345,3,3,28,3,CENTERLINE_GRAPH,,"POLYGON ((119.054732 -21.243449, 119.054729 -21.243264, 119.054729 -21.243233, 119.054978 -21.242829, 119.055209 -21.242826, 119.055577 -21.243087, 119.05558 -21.243304, 119.055553 -21.243331, 119.054813 -21.243448, 119.054732 -21.243449))"
